"_source/netflow/ipv4_src_addr","_source/netflow/in_bytes","_source/netflow/in_pkts","_source/netflow/l4_dst_port","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/flow_seq_num","_source/netflow/tcp_flags","_source/@timestamp","Anomaly"
"192.168.1.102",2310,18,22,56040,"192.168.1.108",1785,27,2018-04-04 16:52:01,1
"192.168.1.102",2310,18,22,56036,"192.168.1.108",1785,27,2018-04-04 16:52:01,1
"192.168.1.102",2310,18,22,56206,"192.168.1.108",1972,27,2018-04-04 16:59:01,1
"192.168.1.102",2310,18,22,56228,"192.168.1.108",2014,27,2018-04-04 17:00:01,1
"192.168.1.102",2310,18,22,56230,"192.168.1.108",2014,27,2018-04-04 17:00:01,1
"192.168.1.102",2310,18,22,56242,"192.168.1.108",2027,27,2018-04-04 17:00:01,1
"192.168.1.102",2310,18,22,56234,"192.168.1.108",2020,27,2018-04-04 17:00:01,1
"192.168.1.102",2310,18,22,56262,"192.168.1.108",2050,27,2018-04-04 17:01:01,1
"192.168.1.102",2310,18,22,56264,"192.168.1.108",2050,27,2018-04-04 17:01:01,1
"192.168.1.102",2310,18,22,56250,"192.168.1.108",2037,27,2018-04-04 17:01:01,1
"192.168.1.102",2310,18,22,56260,"192.168.1.108",2050,27,2018-04-04 17:01:01,1
"192.168.1.102",2310,18,22,56252,"192.168.1.108",2044,27,2018-04-04 17:01:01,1
"192.168.1.102",2310,18,22,56182,"192.168.1.108",1936,27,2018-04-04 16:58:01,1
"192.168.1.102",2310,18,22,56118,"192.168.1.108",1859,27,2018-04-04 16:55:01,1
"192.168.1.102",2310,18,22,56150,"192.168.1.108",1896,27,2018-04-04 16:56:01,1
"192.168.1.102",2310,18,22,56148,"192.168.1.108",1896,27,2018-04-04 16:56:01,1
"192.168.1.102",2310,18,22,56160,"192.168.1.108",1906,27,2018-04-04 16:57:01,1
"192.168.1.102",2310,18,22,56070,"192.168.1.108",1820,27,2018-04-04 16:53:01,1
"192.168.1.102",2310,18,22,56094,"192.168.1.108",1837,27,2018-04-04 16:54:01,1
"192.168.1.102",2310,18,22,56096,"192.168.1.108",1837,27,2018-04-04 16:54:01,1
"192.168.1.102",2310,18,22,56082,"192.168.1.108",1831,27,2018-04-04 16:54:01,1
"192.168.1.102",2310,18,22,56348,"192.168.1.108",2121,27,2018-04-04 17:05:01,1
"192.168.1.102",2310,18,22,56374,"192.168.1.108",2148,27,2018-04-04 17:06:01,1
"192.168.1.102",2310,18,22,56280,"192.168.1.108",2057,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56294,"192.168.1.108",2074,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56290,"192.168.1.108",2070,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56276,"192.168.1.108",2063,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56278,"192.168.1.108",2063,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56288,"192.168.1.108",2070,27,2018-04-04 17:02:01,1
"192.168.1.102",2310,18,22,56410,"192.168.1.108",2190,27,2018-04-04 17:07:01,1
"192.168.1.102",2310,18,22,56406,"192.168.1.108",2190,27,2018-04-04 17:07:01,1
"192.168.1.102",2310,18,22,56434,"192.168.1.108",2212,27,2018-04-04 17:08:01,1
"192.168.1.102",2310,18,22,56430,"192.168.1.108",2212,27,2018-04-04 17:08:01,1
"192.168.1.102",2310,18,22,56414,"192.168.1.108",2200,27,2018-04-04 17:08:01,1
"192.168.1.102",2310,18,22,56432,"192.168.1.108",2212,27,2018-04-04 17:08:01,1
"192.168.1.102",2310,18,22,56310,"192.168.1.108",2088,27,2018-04-04 17:03:01,1
"192.168.1.102",2310,18,22,56338,"192.168.1.108",2108,27,2018-04-04 17:04:00,1
"192.168.1.102",2310,18,22,56324,"192.168.1.108",2102,27,2018-04-04 17:04:00,1
"192.168.1.102",2310,18,22,56330,"192.168.1.108",2102,27,2018-04-04 17:04:00,1
"192.168.1.102",2374,19,22,56332,"192.168.1.108",2102,27,2018-04-04 17:04:00,1
"192.168.1.102",2310,18,22,56342,"192.168.1.108",2115,27,2018-04-04 17:04:00,1
"192.168.1.102",2310,18,22,56598,"192.168.1.108",2454,27,2018-04-04 17:15:01,1
"192.168.1.102",2310,18,22,56592,"192.168.1.108",2436,27,2018-04-04 17:15:01,1
"192.168.1.102",2310,18,22,56572,"192.168.1.108",2388,27,2018-04-04 17:14:01,1
"192.168.1.102",2310,18,22,56568,"192.168.1.108",2388,27,2018-04-04 17:14:01,1
"192.168.1.102",2310,18,22,56582,"192.168.1.108",2419,27,2018-04-04 17:14:01,1
"192.168.1.102",2310,18,22,56502,"192.168.1.108",2277,27,2018-04-04 17:11:01,1
"192.168.1.102",2310,18,22,56514,"192.168.1.108",2295,27,2018-04-04 17:11:01,1
"192.168.1.102",2310,18,22,56512,"192.168.1.108",2289,27,2018-04-04 17:11:01,1
"192.168.1.102",2310,18,22,56496,"192.168.1.108",2271,27,2018-04-04 17:11:01,1
"192.168.1.102",2310,18,22,56516,"192.168.1.108",2301,27,2018-04-04 17:11:01,1
"192.168.1.102",2310,18,22,56440,"192.168.1.108",2219,27,2018-04-04 17:09:01,1
"192.168.1.102",2310,18,22,56524,"192.168.1.108",2308,27,2018-04-04 17:12:01,1
"192.168.1.102",2310,18,22,56522,"192.168.1.108",2308,27,2018-04-04 17:12:01,1
"192.168.1.102",2310,18,22,56528,"192.168.1.108",2321,27,2018-04-04 17:12:01,1
"192.168.1.102",2310,18,22,56548,"192.168.1.108",2345,27,2018-04-04 17:13:01,1
"192.168.1.102",2310,18,22,56542,"192.168.1.108",2339,27,2018-04-04 17:13:01,1
"192.168.1.102",2310,18,22,56444,"192.168.1.108",2219,27,2018-04-04 17:09:01,1
"192.168.1.102",2310,18,22,56450,"192.168.1.108",2225,27,2018-04-04 17:09:01,1
"192.168.1.102",2310,18,22,56472,"192.168.1.108",2245,27,2018-04-04 17:10:01,1
"192.168.1.102",2310,18,22,56470,"192.168.1.108",2245,27,2018-04-04 17:10:01,1
"192.168.1.102",2310,18,22,56482,"192.168.1.108",2249,27,2018-04-04 17:10:01,1
"192.168.1.102",2310,18,22,56684,"192.168.1.108",2607,27,2018-04-04 17:19:01,1
"192.168.1.102",2310,18,22,56626,"192.168.1.108",2504,27,2018-04-04 17:16:01,1
"192.168.1.102",2310,18,22,56618,"192.168.1.108",2485,27,2018-04-04 17:16:01,1
"192.168.1.102",2326,18,22,56624,"192.168.1.108",2504,27,2018-04-04 17:16:01,1
"192.168.1.102",2310,18,22,56634,"192.168.1.108",2531,27,2018-04-04 17:17:01,1
"192.168.1.102",2310,18,22,56638,"192.168.1.108",2531,27,2018-04-04 17:17:01,1
"192.168.1.102",2310,18,22,56654,"192.168.1.108",2562,27,2018-04-04 17:17:01,1
"192.168.1.102",2310,18,22,56670,"192.168.1.108",2572,27,2018-04-04 17:18:01,1
"192.168.1.102",2310,18,22,56668,"192.168.1.108",2572,27,2018-04-04 17:18:01,1
"192.168.1.102",2310,18,22,56706,"192.168.1.108",2676,27,2018-04-04 17:20:01,1
"192.168.1.102",2310,18,22,56708,"192.168.1.108",2676,27,2018-04-04 17:20:01,1
"192.168.1.102",2310,18,22,56724,"192.168.1.108",2700,27,2018-04-04 17:20:01,1
"192.168.1.102",2310,18,22,56798,"192.168.1.108",2754,27,2018-04-04 17:23:01,1
"192.168.1.102",2310,18,22,56790,"192.168.1.108",2748,27,2018-04-04 17:23:01,1
"192.168.1.102",2310,18,22,56782,"192.168.1.108",2742,27,2018-04-04 17:23:01,1
"192.168.1.102",2310,18,22,56822,"192.168.1.108",2782,27,2018-04-04 17:24:01,1
"192.168.1.102",2310,18,22,56802,"192.168.1.108",2760,27,2018-04-04 17:24:01,1
"192.168.1.102",2310,18,22,56754,"192.168.1.108",2722,27,2018-04-04 17:22:01,1
"192.168.1.102",2310,18,22,56758,"192.168.1.108",2722,27,2018-04-04 17:22:01,1
"192.168.1.102",2310,18,22,56770,"192.168.1.108",2728,27,2018-04-04 17:22:01,1
"192.168.1.102",2310,18,22,56774,"192.168.1.108",2728,27,2018-04-04 17:22:01,1
"192.168.1.102",2310,18,22,56806,"192.168.1.108",2769,27,2018-04-04 17:24:01,1
"192.168.1.102",2310,18,22,56924,"192.168.1.108",2856,27,2018-04-04 17:29:01,1
"192.168.1.102",2310,18,22,56930,"192.168.1.108",2856,27,2018-04-04 17:29:01,1
"192.168.1.102",2310,18,22,56944,"192.168.1.108",2873,27,2018-04-04 17:29:01,1
"192.168.1.102",2310,18,22,56940,"192.168.1.108",2868,27,2018-04-04 17:29:01,1
"192.168.1.102",2310,18,22,56936,"192.168.1.108",2862,27,2018-04-04 17:29:01,1
"192.168.1.102",2310,18,22,56986,"192.168.1.108",2908,27,2018-04-04 17:31:01,1
"192.168.1.102",2374,19,22,56990,"192.168.1.108",2926,27,2018-04-04 17:31:01,1
"192.168.1.102",2310,18,22,56948,"192.168.1.108",2878,27,2018-04-04 17:30:01,1
"192.168.1.102",2310,18,22,56956,"192.168.1.108",2884,27,2018-04-04 17:30:01,1
"192.168.1.102",2310,18,22,56964,"192.168.1.108",2890,27,2018-04-04 17:30:01,1
"192.168.1.102",2310,18,22,56960,"192.168.1.108",2884,27,2018-04-04 17:30:01,1
"192.168.1.102",2310,18,22,56966,"192.168.1.108",2890,27,2018-04-04 17:30:01,1
"192.168.1.102",2310,18,22,56994,"192.168.1.108",2931,27,2018-04-04 17:32:01,1
"192.168.1.102",2310,18,22,57014,"192.168.1.108",2944,27,2018-04-04 17:32:01,1
"192.168.1.102",2310,18,22,56882,"192.168.1.108",2825,27,2018-04-04 17:27:01,1
"192.168.1.102",2310,18,22,56892,"192.168.1.108",2831,27,2018-04-04 17:27:01,1
"192.168.1.102",2310,18,22,56846,"192.168.1.108",2795,27,2018-04-04 17:25:01,1
"192.168.1.102",2310,18,22,56838,"192.168.1.108",2789,27,2018-04-04 17:25:01,1
"192.168.1.102",2310,18,22,56918,"192.168.1.108",2853,27,2018-04-04 17:28:01,1
"192.168.1.102",2310,18,22,57082,"192.168.1.108",3032,27,2018-04-04 17:35:01,1
"192.168.1.102",2310,18,22,57074,"192.168.1.108",3026,27,2018-04-04 17:35:01,1
"192.168.1.102",2310,18,22,57090,"192.168.1.108",3050,27,2018-04-04 17:35:01,1
"192.168.1.102",2310,18,22,57100,"192.168.1.108",3071,27,2018-04-04 17:36:01,1
"192.168.1.102",2310,18,22,57098,"192.168.1.108",3071,27,2018-04-04 17:36:01,1
"192.168.1.102",2310,18,22,57104,"192.168.1.108",3077,27,2018-04-04 17:36:01,1
"192.168.1.102",2258,17,22,57106,"192.168.1.108",3083,27,2018-04-04 17:36:01,1
"192.168.1.102",2310,18,22,57066,"192.168.1.108",3016,27,2018-04-04 17:34:01,1
"192.168.1.102",2310,18,22,57064,"192.168.1.108",3016,27,2018-04-04 17:34:01,1
"192.168.1.102",2310,18,22,57046,"192.168.1.108",2991,27,2018-04-04 17:34:01,1
"192.168.1.102",2310,18,22,57018,"192.168.1.108",2945,27,2018-04-04 17:33:01,1
"192.168.1.102",2310,18,22,57192,"192.168.1.108",3193,27,2018-04-04 17:39:01,1
"192.168.1.102",2310,18,22,57138,"192.168.1.108",3139,27,2018-04-04 17:37:01,1
"192.168.1.102",2310,18,22,57126,"192.168.1.108",3121,27,2018-04-04 17:37:01,1
"192.168.1.102",2310,18,22,57162,"192.168.1.108",3159,27,2018-04-04 17:38:01,1
"192.168.1.102",2310,18,22,57038,"192.168.1.108",2973,27,2018-04-04 17:33:01,1
"192.168.1.102",2310,18,22,57212,"192.168.1.108",3223,27,2018-04-04 17:40:01,1
"192.168.1.102",2326,18,22,57362,"192.168.1.108",3356,27,2018-04-04 17:47:01,1
"192.168.1.102",2310,18,22,57372,"192.168.1.108",3380,27,2018-04-04 17:47:01,1
"192.168.1.102",2310,18,22,57374,"192.168.1.108",3386,27,2018-04-04 17:47:01,1
"192.168.1.102",2310,18,22,57382,"192.168.1.108",3392,27,2018-04-04 17:47:01,1
"192.168.1.102",2310,18,22,57406,"192.168.1.108",3408,27,2018-04-04 17:48:01,1
"192.168.1.102",2326,18,22,57388,"192.168.1.108",3397,27,2018-04-04 17:48:01,1
"192.168.1.102",2310,18,22,57408,"192.168.1.108",3414,27,2018-04-04 17:48:01,1
"192.168.1.102",2310,18,22,57302,"192.168.1.108",3310,27,2018-04-04 17:44:01,1
"192.168.1.102",2310,18,22,57222,"192.168.1.108",3243,27,2018-04-04 17:41:01,1
"192.168.1.102",2310,18,22,57228,"192.168.1.108",3243,27,2018-04-04 17:41:01,1
"192.168.1.102",2310,18,22,57234,"192.168.1.108",3255,27,2018-04-04 17:41:01,1
"192.168.1.102",2310,18,22,57252,"192.168.1.108",3265,27,2018-04-04 17:42:01,1
"192.168.1.102",2310,18,22,57258,"192.168.1.108",3271,27,2018-04-04 17:42:01,1
"192.168.1.102",2310,18,22,57264,"192.168.1.108",3279,27,2018-04-04 17:42:01,1
"192.168.1.102",2310,18,22,57250,"192.168.1.108",3265,27,2018-04-04 17:42:01,1
"192.168.1.102",2310,18,22,57352,"192.168.1.108",3345,27,2018-04-04 17:46:01,1
"192.168.1.102",2326,18,22,57336,"192.168.1.108",3339,27,2018-04-04 17:46:01,1
"192.168.1.102",2310,18,22,57276,"192.168.1.108",3282,27,2018-04-04 17:43:01,1
"192.168.1.102",2310,18,22,57278,"192.168.1.108",3288,27,2018-04-04 17:43:01,1
"192.168.1.102",2310,18,22,57268,"192.168.1.108",3282,27,2018-04-04 17:43:01,1
"192.168.1.102",2310,18,22,57328,"192.168.1.108",3330,27,2018-04-04 17:45:01,1
"192.168.1.102",2310,18,22,57422,"192.168.1.108",3422,27,2018-04-04 17:49:01,1
"192.168.1.102",2310,18,22,57426,"192.168.1.108",3428,27,2018-04-04 17:49:01,1
"192.168.1.102",2310,18,22,57418,"192.168.1.108",3416,27,2018-04-04 17:49:01,1
"192.168.1.102",2310,18,22,57542,"192.168.1.108",3523,27,2018-04-04 17:54:01,1
"192.168.1.102",2310,18,22,57460,"192.168.1.108",3457,27,2018-04-04 17:51:01,1
"192.168.1.102",2310,18,22,57470,"192.168.1.108",3469,27,2018-04-04 17:51:01,1
"192.168.1.102",2310,18,22,57514,"192.168.1.108",3501,27,2018-04-04 17:53:01,1
"192.168.1.102",2310,18,22,57530,"192.168.1.108",3507,27,2018-04-04 17:53:01,1
"192.168.1.102",2310,18,22,57570,"192.168.1.108",3544,27,2018-04-04 17:55:01,1
"192.168.1.102",2310,18,22,57572,"192.168.1.108",3544,27,2018-04-04 17:55:01,1
"192.168.1.102",2310,18,22,57576,"192.168.1.108",3551,27,2018-04-04 17:55:01,1
"192.168.1.102",2310,18,22,57574,"192.168.1.108",3551,27,2018-04-04 17:55:01,1
"192.168.1.102",2310,18,22,57580,"192.168.1.108",3554,27,2018-04-04 17:56:01,1
"192.168.1.102",2310,18,22,57600,"192.168.1.108",3567,27,2018-04-04 17:56:01,1
"192.168.1.102",2310,18,22,57616,"192.168.1.108",3576,27,2018-04-04 17:57:01,1
"192.168.1.102",2310,18,22,57604,"192.168.1.108",3572,27,2018-04-04 17:57:01,1
"192.168.1.102",2310,18,22,57610,"192.168.1.108",3572,27,2018-04-04 17:57:01,1
"192.168.1.102",2310,18,22,57802,"192.168.1.108",3711,27,2018-04-04 18:05:01,1
"192.168.1.102",2310,18,22,57810,"192.168.1.108",3723,27,2018-04-04 18:05:01,1
"192.168.1.102",2310,18,22,57634,"192.168.1.108",3592,27,2018-04-04 17:58:01,1
"192.168.1.102",2310,18,22,57676,"192.168.1.108",3619,27,2018-04-04 18:00:01,1
"192.168.1.102",2310,18,22,57772,"192.168.1.108",3682,27,2018-04-04 18:04:01,1
"192.168.1.102",2310,18,22,57754,"192.168.1.108",3667,27,2018-04-04 18:03:01,1
"192.168.1.102",2310,18,22,57750,"192.168.1.108",3667,27,2018-04-04 18:03:01,1
"192.168.1.102",2310,18,22,57724,"192.168.1.108",3652,27,2018-04-04 18:02:01,1
"192.168.1.102",2310,18,22,57736,"192.168.1.108",3658,27,2018-04-04 18:02:01,1
"192.168.1.102",2310,18,22,57700,"192.168.1.108",3638,27,2018-04-04 18:01:01,1
"192.168.1.102",2326,18,22,57706,"192.168.1.108",3638,27,2018-04-04 18:01:01,1
"192.168.1.102",2310,18,22,57712,"192.168.1.108",3644,27,2018-04-04 18:01:01,1
"192.168.1.102",2310,18,22,57722,"192.168.1.108",3650,27,2018-04-04 18:01:01,1
"192.168.1.102",2310,18,22,57792,"192.168.1.108",3703,27,2018-04-04 18:04:01,1
"192.168.1.102",2310,18,22,57960,"192.168.1.108",4089,27,2018-04-04 18:11:01,1
"192.168.1.102",2310,18,22,57928,"192.168.1.108",3969,27,2018-04-04 18:10:01,1
"192.168.1.102",2310,18,22,57930,"192.168.1.108",3976,27,2018-04-04 18:10:01,1
"192.168.1.102",2310,18,22,57932,"192.168.1.108",3976,27,2018-04-04 18:10:01,1
"192.168.1.102",2310,18,22,57934,"192.168.1.108",3988,27,2018-04-04 18:10:01,1
"192.168.1.102",2310,18,22,57936,"192.168.1.108",3988,27,2018-04-04 18:10:01,1
"192.168.1.102",2310,18,22,58018,"192.168.1.108",4204,27,2018-04-04 18:14:01,1
"192.168.1.102",2310,18,22,58026,"192.168.1.108",4216,27,2018-04-04 18:14:01,1
"192.168.1.102",2310,18,22,58032,"192.168.1.108",4229,27,2018-04-04 18:14:01,1
"192.168.1.102",2310,18,22,57870,"192.168.1.108",3811,27,2018-04-04 18:08:01,1
"192.168.1.102",2310,18,22,57878,"192.168.1.108",3835,27,2018-04-04 18:08:01,1
"192.168.1.102",2310,18,22,57880,"192.168.1.108",3835,27,2018-04-04 18:08:01,1
"192.168.1.102",2310,18,22,57876,"192.168.1.108",3823,27,2018-04-04 18:08:01,1
"192.168.1.102",2310,18,22,57982,"192.168.1.108",4146,27,2018-04-04 18:12:01,1
"192.168.1.102",2310,18,22,57984,"192.168.1.108",4152,27,2018-04-04 18:12:01,1
"192.168.1.102",2310,18,22,57988,"192.168.1.108",4152,27,2018-04-04 18:12:01,1
"192.168.1.102",2310,18,22,57998,"192.168.1.108",4179,27,2018-04-04 18:13:01,1
"192.168.1.102",2310,18,22,57834,"192.168.1.108",3748,27,2018-04-04 18:06:01,1
"192.168.1.102",2310,18,22,57820,"192.168.1.108",3736,27,2018-04-04 18:06:01,1
"192.168.1.102",2310,18,22,57860,"192.168.1.108",3788,27,2018-04-04 18:07:01,1
"192.168.1.102",2310,18,22,57848,"192.168.1.108",3770,27,2018-04-04 18:07:01,1
"192.168.1.102",2310,18,22,57864,"192.168.1.108",3794,27,2018-04-04 18:07:01,1
"192.168.1.102",2310,18,22,58190,"192.168.1.108",4677,27,2018-04-04 18:21:01,1
"192.168.1.102",2310,18,22,58202,"192.168.1.108",4713,27,2018-04-04 18:21:01,1
"192.168.1.102",2310,18,22,58184,"192.168.1.108",4655,27,2018-04-04 18:21:01,1
"192.168.1.102",2310,18,22,58134,"192.168.1.108",4497,27,2018-04-04 18:19:01,1
"192.168.1.102",2310,18,22,58138,"192.168.1.108",4497,27,2018-04-04 18:19:01,1
"192.168.1.102",2310,18,22,58150,"192.168.1.108",4515,27,2018-04-04 18:19:01,1
"192.168.1.102",2310,18,22,58156,"192.168.1.108",4539,27,2018-04-04 18:19:01,1
"192.168.1.102",2310,18,22,58224,"192.168.1.108",4797,27,2018-04-04 18:22:01,1
"192.168.1.102",2310,18,22,58212,"192.168.1.108",4766,27,2018-04-04 18:22:01,1
"192.168.1.102",2310,18,22,58204,"192.168.1.108",4720,27,2018-04-04 18:22:01,1
"192.168.1.102",2310,18,22,58216,"192.168.1.108",4779,27,2018-04-04 18:22:01,1
"192.168.1.102",2310,18,22,58170,"192.168.1.108",4604,27,2018-04-04 18:20:01,1
"192.168.1.102",2310,18,22,58176,"192.168.1.108",4617,27,2018-04-04 18:20:01,1
"192.168.1.102",2310,18,22,58166,"192.168.1.108",4598,27,2018-04-04 18:20:01,1
"192.168.1.102",2310,18,22,58124,"192.168.1.108",4474,27,2018-04-04 18:18:01,1
"192.168.1.102",2310,18,22,58128,"192.168.1.108",4485,27,2018-04-04 18:18:01,1
"192.168.1.102",2310,18,22,58130,"192.168.1.108",4485,27,2018-04-04 18:18:01,1
"192.168.1.102",2310,18,22,58118,"192.168.1.108",4468,27,2018-04-04 18:18:01,1
"192.168.1.102",2310,18,22,58126,"192.168.1.108",4481,27,2018-04-04 18:18:01,1
"192.168.1.102",2310,18,22,58038,"192.168.1.108",4253,27,2018-04-04 18:15:01,1
"192.168.1.102",2310,18,22,58054,"192.168.1.108",4329,27,2018-04-04 18:15:01,1
"192.168.1.102",2310,18,22,58058,"192.168.1.108",4329,27,2018-04-04 18:15:01,1
"192.168.1.102",2310,18,22,58072,"192.168.1.108",4360,27,2018-04-04 18:16:01,1
"192.168.1.102",2310,18,22,58280,"192.168.1.108",4926,27,2018-04-04 18:25:01,1
"192.168.1.102",2310,18,22,58290,"192.168.1.108",4938,27,2018-04-04 18:25:01,1
"192.168.1.102",2310,18,22,58238,"192.168.1.108",4831,27,2018-04-04 18:23:00,1
"192.168.1.102",2310,18,22,58232,"192.168.1.108",4813,27,2018-04-04 18:23:00,1
"192.168.1.102",2310,18,22,58256,"192.168.1.108",4866,27,2018-04-04 18:24:01,1
"192.168.1.102",2310,18,22,58336,"192.168.1.108",5017,27,2018-04-04 18:27:01,1
"192.168.1.102",2310,18,22,58338,"192.168.1.108",5017,27,2018-04-04 18:27:01,1
"192.168.1.102",2310,18,22,58308,"192.168.1.108",4964,27,2018-04-04 18:26:01,1
"192.168.1.102",2310,18,22,58260,"192.168.1.108",4878,27,2018-04-04 18:24:01,1
"192.168.1.102",2310,18,22,58262,"192.168.1.108",4885,27,2018-04-04 18:24:01,1
"192.168.1.102",2310,18,22,58264,"192.168.1.108",4885,27,2018-04-04 18:24:01,1
"192.168.1.102",2310,18,22,58368,"192.168.1.108",5039,27,2018-04-04 18:28:01,1
"192.168.1.102",2310,18,22,58474,"192.168.1.108",5226,27,2018-04-04 18:33:01,1
"192.168.1.102",2310,18,22,58374,"192.168.1.108",5053,27,2018-04-04 18:29:01,1
"192.168.1.102",2310,18,22,58380,"192.168.1.108",5059,27,2018-04-04 18:29:01,1
"192.168.1.102",2310,18,22,58416,"192.168.1.108",5147,27,2018-04-04 18:30:01,1
"192.168.1.102",2310,18,22,58412,"192.168.1.108",5141,27,2018-04-04 18:30:01,1
"192.168.1.102",2258,17,22,58530,"192.168.1.108",5327,27,2018-04-04 18:35:01,1
"192.168.1.102",2310,18,22,58560,"192.168.1.108",5355,27,2018-04-04 18:36:01,1
"192.168.1.102",2310,18,22,58548,"192.168.1.108",5343,27,2018-04-04 18:36:01,1
"192.168.1.102",2310,18,22,58566,"192.168.1.108",5362,27,2018-04-04 18:36:01,1
"192.168.1.102",2310,18,22,58508,"192.168.1.108",5280,27,2018-04-04 18:34:01,1
"192.168.1.102",2310,18,22,58502,"192.168.1.108",5280,27,2018-04-04 18:34:01,1
"192.168.1.102",2310,18,22,58498,"192.168.1.108",5274,27,2018-04-04 18:34:01,1
"192.168.1.102",2310,18,22,58578,"192.168.1.108",5373,27,2018-04-04 18:37:01,1
"192.168.1.102",2310,18,22,58586,"192.168.1.108",5379,27,2018-04-04 18:37:01,1
"192.168.1.102",2310,18,22,58420,"192.168.1.108",5150,27,2018-04-04 18:31:01,1
"192.168.1.102",2310,18,22,58430,"192.168.1.108",5156,27,2018-04-04 18:31:01,1
"192.168.1.102",2310,18,22,58424,"192.168.1.108",5150,27,2018-04-04 18:31:01,1
"192.168.1.102",2310,18,22,58618,"192.168.1.108",5410,27,2018-04-04 18:39:01,1
"192.168.1.102",2310,18,22,58636,"192.168.1.108",5434,27,2018-04-04 18:39:01,1
"192.168.1.102",2310,18,22,58640,"192.168.1.108",5440,27,2018-04-04 18:39:01,1
"192.168.1.102",2310,18,22,58742,"192.168.1.108",5524,27,2018-04-04 18:44:01,1
"192.168.1.102",2310,18,22,58752,"192.168.1.108",5536,27,2018-04-04 18:44:01,1
"192.168.1.102",2310,18,22,58660,"192.168.1.108",5456,27,2018-04-04 18:40:01,1
"192.168.1.102",2326,18,22,58698,"192.168.1.108",5484,27,2018-04-04 18:42:01,1
"192.168.1.102",2310,18,22,58706,"192.168.1.108",5497,27,2018-04-04 18:42:01,1
"192.168.1.102",2310,18,22,58710,"192.168.1.108",5497,27,2018-04-04 18:42:01,1
"192.168.1.102",2310,18,22,58764,"192.168.1.108",5546,27,2018-04-04 18:45:01,1
"192.168.1.102",2310,18,22,58776,"192.168.1.108",5552,27,2018-04-04 18:45:01,1
